station_id,marque
10000005,Esso Express
10000006,Casino
1000001,Carrefour Market
10000018,Total
10000019,Total Access
1000002,Carrefour
10000020,Total Access
1000004,Total
1000007,E. Leclerc
1000008,TotalEnergies
1000009,Intermarché
1000012,Total
1000013,Carrefour
1000016,TotalEnergies
10100001,Carrefour
10100002,Total
10100003,Esso Express
10100004,E.Leclerc
10110001,Esso
10110002,Intermarché
10120004,Super U
10120006,Avia
10123001,Carrefour
10130001,Avia
10130004,Intermarché
10140001,Avia
10150001,Esso Express
10150002,Intermarché
10150003,Shell
10160001,Intermarché
10160002,TotalEnergies
10170001,Intermarché
10180001,Intermarché
10190001,AVIA XPress
10200002,E.Leclerc
10200004,Esso
10200006,Carrefour
10210001,Station du Chaourçois - Peugeot
10210002,bi1
10230001,Avia
10230002,Total
10250001,Avia
10250002,Carrefour
10260001,Total
10260003,Carrefour
10270006,Total Access
10270007,Total
10270009,E.Leclerc
10270010,Carrefour
10300002,Esso
10300005,Total Access
10310001,TotalEnergies
10340001,Avia
10350001,Intermarché
10360001,Avia
10370001,Intermarché
10400002,Carrefour Market
10400003,Intermarché
10400007,Carrefour Contact
10410003,E.Leclerc
10430003,E.Leclerc
10430005,Intermarché
10500001,Total
10500002,Intermarché
10500005,E.Leclerc
10600002,Carrefour
10600005,Esso
10600009,Total Access
10600012,Auchan
10700001,Total
10700002,Carrefour Market
10700003,Intermarché
10800002,Intermarché
10800003,Intermarché
10800006,Carrefour
10800007,Intermarché
1090001,Auchan
11000003,TotalEnergies
11000005,Esso Express
11000007,E.Leclerc
11000009,Intermarché
11000012,Triay Frères
11000013,Intermarché
11000014,Dyneff
11000015,TotalEnergies
11000016,Carrefour
11000018,Auchan
11000019,E.Leclerc
1100002,Carrefour Market
1100004,Avia
1100006,Intermarché
1100007,Total
1100008,Intermarché
1100009,Intermarché
11100002,Dyneff
11100003,Dyneff
11100004,Dyneff
11100008,Esso
11100009,Esso
1110001,Carrefour
11100010,Esso
11100013,TotalEnergies
11100015,Super U
11100016,Auchan
11101001,Carrefour
11106001,E. Leclerc
11110001,Super U
11110004,Intermarché
11110005,TotalEnergies
11110008,E.Leclerc
11120001,Intermarché
11120002,Carrefour
11120003,Intermarché
11130001,Intermarché
11130002,Carrefour
11140001,Dyneff
11150001,Carrefour
11150002,Système U
11160002,Independent
11160003,Carrefour
11170002,Intermarché
11200001,Carrefour
11200002,Dyneff
11200003,Dyneff
11200006,Intermarché
11200007,Système U
11200008,Total Access
1120004,Super U
1120005,Intermarché
1120006,Total
1120008,TotalEnergies
1120009,Avia
11210002,Super U
11220001,Dyneff
11250001,TotalEnergies
11260001,Intermarché
11290001,Dyneff
11290002,Dyneff
11290003,TotalEnergies
11290005,Carrefour
11300001,Dyneff
11300003,Esso Express
11300004,E.Leclerc
11300006,Système U
1130002,Avia
1130003,TotalEnergies
11310001,Carrefour Express Le Carburant
11360002,Super U
11370001,Carrefour
11370004,Esso
11390001,Dyneff
11400002,Dyneff
11400004,Total
11400005,Intermarché
11400008,E.Leclerc
11400009,Netto
1140001,U Express
11430001,Dyneff
11430002,Intermarché
11480007,Avia
11480008,Avia
11480009,Esso
11500002,TotalEnergies
11500004,Lopez et Fils
11500005,Carrefour
1150001,Carrefour
1150002,Total
11540001,TotalEnergies
11560002,Total
11590002,BP
11590004,Auchan
11600005,Dyneff
1160002,Super U
1160005,Total Access
11620001,Dyneff
11700001,Dyneff
11700005,Intermarché
11700007,Avia
11700008,Avia
11700009,Intermarché
1170001,Carrefour
1170002,Carrefour
1170003,Intermarché
1170005,Avia
11800002,Super U
11800003,Intermarché
1190001,Avia
1200001,Carrefour
12000010,E.Leclerc
12000011,Intermarché
12000013,Total
12000014,Total
12000015,Dyneff
12000016,Intermarché
1200003,Carrefour
12100002,TotalEnergies
12100004,Carrefour
12100005,Auchan
12100006,E.Leclerc
12100009,E.Leclerc
1210001,Carrefour
12100010,Servifioul
12100011,Intermarché
1210003,E.Leclerc
12110002,Intermarché
12110003,Intermarché
12110004,Total
12120001,Carrefour
12120002,Carrefour
12130001,Total
12130002,Intermarché
12140002,Dyneff
12150003,Augade
12150004,Intermarché
12150005,Terre des Grands Causses
12150006,Total
12150007,Relais 9
12160002,TotalEnergies
12160003,Carrefour Market
12170001,Carrefour Contact
12170004,Carrefour
12200001,TotalEnergies
12200002,Carrefour
12200004,E. Leclerc
12200005,Intermarché
12200006,Elan
1220001,Carrefour
12210001,Casino
12220001,Système U
12230001,Total
12230003,Servifioul
12230004,Total
12240002,Intermarché
12260002,Total
12260007,Carrefour Contact
12270001,Intermarché
12270002,Total
12290001,Total Access
12290003,Total Access
12300004,Intermarché
12300005,Super U
1230002,Avia
1230003,Elan
12310001,Total
12310002,Intermarché
12330002,TotalEnergies
12330003,Station Intermarché Salles-la-Source
12330004,Netto
12340001,Total
12340002,Intermarché
12350002,Spar
12360001,Intermarché
12390001,U
12400001,Carrefour
12400002,Total Contact
12400003,Intermarché
12400005,Motrio
12400006,Super U
12400007,Avia
12430001,Total
12450001,Carrefour
12450002,Total
12490001,Station Suau Michel
12490002,Avia
12500002,Total
12500003,Station d'Olt
12500004,La station u
1250004,Avia
1250005,TotalEnergies
1250006,Système U
1250007,Fulli
12510001,Super U
12560001,Station La Vallée du Lot
12560002,Les Rebels
12560003,Station du Val de Serre
12580001,Station service du Plateau
12600001,Garage Yerles
12600002,Avia
1260002,TotalEnergies
12700001,Intermarché
1270003,TotalEnergies
12780002,Porte du Lévézou
12800001,Total
12800002,Intermarché
12800003,Energie
12850001,Système U
12850002,E.Leclerc
12850004,E.Leclerc
12850007,TotalEnergies
1290001,U
13000001,Intermarché
13000003,Station Dorgelès
1300001,Carrefour
1300002,Auchan
1300003,Intermarché
1300004,TotalEnergies
13002007,Avia
13003004,Total Access
13004005,TotalEnergies
13005011,Esso Express
13005012,TotalEnergies
13005013,TotalEnergies
13006003,Avia
13006005,Total
13007001,Esso Express
13007008,Eni
13008001,Casino
13008004,Esso Express
13008008,Carrefour
13008014,Avia
13008017,TotalEnergies
13008018,Relais de Mermoz
13008019,Eni
13009006,E. Leclerc
13009008,TotalEnergies
13009009,Avia
13009011,Intermarché
13010001,Auchan
13010005,TotalEnergies
13010011,TotalEnergies
13011003,Shell
13011016,TotalEnergies
13011017,Total
13011018,Intermarché
13011019,La Source
13011022,Intermarché
13011023,Station La Millière
13011025,Eni
13011026,Auchan
13011027,Carrefour
13011028,Carrefour
13012016,Intermarché
13012022,Total Access
13012024,Auchan
13012025,Esso
13012028,Carrefour
13012029,Intermarché
13013002,Esso
13013003,Esso
13013011,Les Olives
13013012,Le Relais de Plombières
13013014,Eni
13013016,TotalEnergies
13013017,Total Access
13013018,Casino
13013019,Intermarché
13014001,Carrefour
13014010,Avia
13014015,Eni
13015004,Esso Express
13015016,Eni
13015019,Total Access
13015020,Eni
13016007,TotalEnergies
13016008,TotalEnergies
13090017,TotalEnergies
13090018,TotalEnergies
13090020,Eni
13090021,Auchan
13100005,Esso Express
13100006,Esso Express
1310001,Total
13100013,Total Access
13100014,TotalEnergies
13100015,Total Access
13100016,Total
13100017,Total Access
13100021,Carburant Loti
1310005,Netto
13105001,Intermarché
13110003,Carrefour
13110004,Euro Stat
13110005,Total
13112003,Intermarché
13112005,Avia
13115001,Total
13118001,Super U
13120001,Carrefour
13120003,Intermarché
13120005,E.Leclerc
13120008,TotalEnergies
13120009,Relais de la Garde
13122001,Total
13122002,Intermarché
13124003,E.Leclerc
13124004,E.Leclerc
13127005,Eni
13127006,E. Leclerc
13127009,Station des Cadestaux
13127010,Total
13127012,Esso
13127013,Intermarché
13130002,Carrefour Market
13130005,Dyneff
13130006,TotalEnergies
13140001,Carrefour
13140002,Dyneff
13140005,Intermarché
13140010,Total Access
13150001,Auchan
13150003,Intermarché
13150006,Total Access
13160001,Garoucha Fioul Service SARL
13160002,Intermarché
13160004,Carrefour
13160005,Super U
13170007,Avia
13170008,Independent
13170010,L.R.D.P.
13170011,Total
13170013,Eni
13180001,Eni
13180002,Carrefour Market
13190001,Total
13200006,E.Leclerc
13200009,Intermarché
1320001,Elan
13200013,Genevez Auto Station
13200014,TotalEnergies
13200015,Total
13200016,TotalEnergies
13200019,Esso
13200020,TotalEnergies
1320004,Netto
13210002,Intermarché
13210004,Total
13220003,Carrefour
13220004,Carrefour Contact
13230001,Intermarché
13230002,Netto
13230004,TotalEnergies
13240002,Relais du 8 Mai
13260002,TotalEnergies
13270004,Esso Express
13270005,Intermarché
13270011,Total Access
13270012,Total Access
13270014,Relais des Pins
13300001,TotalEnergies
13300002,Total
13300005,E.Leclerc
13300008,Intermarché
13300009,Independent
13300010,TotalEnergies
13300011,Carrefour
1330002,Super U
1330003,Total
13310001,Super U
13310002,Intermarché
13320004,Esso Express
13320005,Esso
13320009,Avia
13320010,Système U
13320012,TotalEnergies
13320013,Esso
13320014,Eni
13330001,Intermarché
13340001,Carrefour
13340004,Dyneff
13340005,Shell
13340006,Avia
13360001,Intermarché
13370003,Intermarché
13370005,Relais de Douneau
13370006,Intermarché
13380002,Esso Express
13390002,Intermarché
13400001,Auchan
13400002,Total
13400003,Total
13400007,Esso Express
13400014,Total
13400015,Total Access
13400017,Intermarché
13400018,Avia
1340002,Total
1340003,Intermarché
1340004,Dyneff
1340005,Market
13410004,Carrefour Contact
13410005,Intermarché
13420001,Avia
13430001,Intermarché
13430002,Independent
13440002,Intermarché
13440005,Distrifioul Provence
13450001,U Express
13460001,Les Tamaris
13460003,Flamants service
13463001,Carrefour
13470001,Intermarché
13480001,TotalEnergies
13480002,E.Leclerc
13500001,Auchan
13500005,Esso Express
13500006,Intermarché
13500011,TotalEnergies
13500012,TotalEnergies
13500014,Esso
1350003,Intermarché
1350004,Carrefour
13510001,Total
13520001,Total Access
13530001,Carrefour
13530003,Auchan
13545001,Carrefour
13550001,Total
