station_id,adresse,ville,cp,latitude,longitude
59000010,72 Avenue du Président John F. Kennedy,Lille,59000,5063200,307000
59000016,112 RUE DE LA BASSEE,LILLE,59000,5062600,303500
59000017,"365, BOULEVARD VICTOR HUGO",LILLE,59000,5061800,305100
59000019,"2, RUE DE TURENNE",LILLE,59000,5062976.41552,303570.571173
59000020,17 A 25 RUE ROGER SALENGRO,LILLE,59000,5062900,310300
59100003,70 Avenue des Nations Unies,Roubaix,59100,5069400,318300
59100011,660 AVENUE DES NATIONS UNIES,ROUBAIX,59100,5069800,316600
59100012,48 AVENUE GUSTAVE DELORY,ROUBAIX,59100,5067431,317409
59110001,Rue du Pré Catelan,La Madeleine,59110,5065500,306000
59110005,BOULEVARD ROBERT SCHUMANN,LA MADELEINE,59110,5065100.8579,306270.154852
59110006,184 RUE DU GENERAL DE GAULLE,LA MADELEINE,59110,5065240.806,307726.756
59110007,10 Rue Bernard Ruyant,La Madeleine,59110,5066100,306800
59111001,AVENUE KENNEDY,BOUCHAIN,59111,5029249.14941,330109.415523
59112002,Rue du Lavoisier,ANNOEULLIN,59112,5052800,294500
59113001,impasse roger bouvry,SECLIN,59113,5054100,302100
59113006,ZI de l'Epinette,Seclin,59113,5055000,305300
59113009,1 Route d'Avelin,SECLIN,59113,5054600,305000
59113011,A1 Aire de Phalempin Ouest,SECLIN,59113,5053200,304600
59113013,Autoroute A1 Km 198 Sens Paris - Lille,Seclin,59113,5052892.16,304570.24
59114003,144 Route d'Eecke,Steenvoorde,59114,5080000,259200
59114004,Route d'Hazebrouck,Terdeghem,59114,5080400,257800
59114006,AUTOROUTE A25 - AIRE DE ST LAURENT,Steenvoorde,59114,5082600,258600
59114007,AUTOROUTE A25AIRE DE SAINT ELOI,STEENVOORDE,59114,5083000,258000
59115001,"1, avenue de l'Europe",Leers,59115,5068000,322300
59116001,18 place de la République,HOUPLINES,59116,5068904,290194
59118001,491 rue de Quesnoy,WAMBRECHIES,59118,5069200,305100
59119003,194 Route de Tournai,WAZIERS,59119,5039200,310800
59120002,"92, RUE GEORGES POTIE",LOOS LES LILLE,59120,5061300,300500
59121002,RN 30,HAULCHIN,59121,5031100,340700
59123001,49 RUE PIERRE DECOCK,BRAY-DUNES,59123,5106500,252000
59125003,2 Rue de la Concorde,Trith-Saint-Léger,59125,5032700,348900
59125006,A2 Paris Bruxelles,Trith saint leger,59125,5033265.1,350750.7
59128002,ANCIENNE RN 43,FLERS-EN-ESCREBIEUX,59128,5040000,304300
59129001,Rue Sadi Carnot,AVESNES-LES-AUBERT,59129,5019000,338800
59129004,79 B RUE SADI CARNOT,Avesnes-les-Aubert,59129,5019210.05,338466.06
59130001,237 Avenue de l'Hippodrome,Lambersart,59130,5064500,302900
59130002,9 Rue Gustave Eiffel,Lambersart,59130,5065900,301300
59132001,103 Rue Roland Rouleau,Glageon,59132,5005800,408700
59133002,47 rue Jean Baptiste Lebas,Phalempin,59133,5052100,302100
59134001,20 rue du haut quesnoy,le maisnil,59134,5061300,288300
59135001,cd 13Lieu dit LEBERGER,BELLAING,59135,5036500,343500
59136001,30 Rue de Lille,WAVRIN,59136,5058000,293300
59138001,14 Grand Rue,PONT-SUR-SAMBRE,59138,5021700,384900
59139001,205 rue clémenceau,Wattignies,59139,5059100,305200
59141002,Rue Clemenceau,Iwuy,59141,5022800,332000
59142001,Rue Gambetta,VILLERS-OUTRéAUX,59142,5002900,328600
59146002,48 RUE ETIENNE D'ORVES,PECQUENCOURT,59146,5038100,322100
59148003,15 Rue des Résistants,Flines-lez-Raches,59148,5042800,318000
59149002,72 route nationale,Cousolre,59149,5024755.365446,414879.85556476
59150002,RUE DE STALINGRAD,WATTRELOS,59150,5069700,321000
59151002,663 RUE SALVADOR ALLENDEE,ARLEUX,59151,5028300,310200
59151003,15T RTE NATIONALE,BUGNICOURT,59151,5029200,314500
59153001,Le cochon noir,GRAND-FORT-PHILIPPE,59153,5098911.3674821,211230.38830092
